answer,choices,question
3,"untempled,,nearlier,,tedeschi,,achate","Oxnard owned Goldacre, a tract of land, in fee simple. At a time when Goldacre was in the adverse possession of Amos, Eric obtained the oral permission of Oxnard to use a portion of Goldacre as a road or driveway to reach adjoining land, Twin Pines, which Eric owned in fee simple. Thereafter, during all times relevant to this problem, Eric used this road across Goldacre regularly for ingress and egress between Twin Pines and a public highway. Amos quit possession of Goldacre before acquiring title by adverse possession. Without any further communication between Oxnard and Eric, Eric continued to use the road for a total period, from the time he first began to use it, sufficient to acquire an easement by prescription. Oxnard then blocked the road and refused to permit its continued use. Eric brought suit to determine his right to continue use of the road. Eric should"
0,"moires,,sartor,,unconsummately,,hockeys","Mary Webb, a physician called as a witness by the defendant in the case of Parr v. Doan, was asked to testify to statements made by Michael Zadok, her patient, for the purpose of obtaining treatment from Dr. Webb. Which of the following is the best basis for excluding evidence of Zadok's statements in a jurisdiction with a doctor-patient privilege?"
1,"preannounces,,caulkings,,monthon,,friendship",A leading question is LEAST likely to be permitted over objection when
2,"hexastyle,,coembodied,,jitter,,fecundates",Roofer entered into a written contract with Orissa to repair the roof of Orissa\
3,"zimmerwaldist,,recompiled,,hajilij,,counterrevolutionize","Homer and Purcell entered into a valid, enforceable written contract by which Homer agreed to sell and Purcell agreed to purchase Blackacre, which was Homer's residence. One of the contract provisions was that after closing, Homer had the right to remain in residence at Blackacre for up to 30 days before delivering possession to Purcell. The closing took place as scheduled. Title passed to Purcell and Homer remained in possession. Within a few days after the closing, the new house next door which was being constructed for Homer was burned to the ground, and at the end of the 30-day period Homer refused to move out of Blackacre; instead, Homer tendered to Purcell a monthly rental payment in excess of the fair rental value of Blackacre. Purcell rejected the proposal and that day brought an appropriate action to gain  immediate possession of Blackacre. The contract was silent as to the consequences of Homer's failure to give up possession within the 30-day period, and the jurisdiction in which Blackacre is located has no statute dealing directly with this situation, although the landlord-tenant law of the jurisdiction requires a landlord to give a tenant 30 days notice before a tenant may be evicted. Purcell did not give Homer any such 30-day statutory notice. Purcell's best legal argument in support of his action to gain immediate possession is that Homer is a"
0,"hircocerf,,tramell,,belle,,idealogical","Albert engaged Bertha, an inexperienced actress, to do a small role in a new Broadway play for a period of six months at a salary of $200 a week. Bertha turned down another role in order to accept this engagement. On the third day of the run, Bertha was hospitalized with influenza and Helen was hired to do the part. A week later, Bertha recovered, but Albert refused to accept her services for the remainder of the contract period. Bertha then brought an action against Albert for breach of contract.Which of the following is Bertha's best legal theory?"
1,"overconsiderate,,kraal,,upsends,,pipi","Albert engaged Bertha, an inexperienced actress, to do a small role in a new Broadway play for a period of six months at a salary of $200 a week. Bertha turned down another role in order to accept this engagement. On the third day of the run, Bertha was hospitalized with influenza and Helen was hired to do the part. A week later, Bertha recovered, but Albert refused to accept her services for the remainder of the contract period. Bertha then brought an action against Albert for breach of contract.Which of the following, if true, would adversely affect Bertha's rights in her action against Albert?"
2,"resinogenous,,travertine,,clangored,,interreticular","Lawyers Abel and Baker are the members of the law partnership of Abel and Baker in a small town that has only one other lawyer in it. Abel and Baker do a substantial amount of personal injury work. Client was severely and permanently injured in an automobile collision when struck by an automobile driven by Motorist. Client employed the Abel and Baker firm to represent her in obtaining damages for her injuries. At the time Client employed Abel and Baker, the statute of limitations had six weeks to run on her claim. The complaint was prepared but not filed. Abel and Baker each thought that the other would file the complaint. The statute of limitations ran on Client\"
3,"elasticness,,quale,,batonist,,overbraveness","A state statute divides murder into degrees. First-degree murder is defined as murder with premeditation and deliberation or a homicide in the commission of arson, rape, robbery, burglary, or kidnapping. Second-degree murder is all other murder at common law. In which of the following situations is Defendant most likely to be guilty of first-degree murder?"
0,"nonadjacently,,upmaking,,intertribal,,zonations","On a camping trip in a state park, Rose discovered, near a rubbish heap, metal signs reading, ""Natural Wildlife Area \x80\x94No Hunting."" She took two of the signs and used them to decorate her room at home. She is charged with violation of a state statute which provides, ""Any person who appropriates to his own use property owned by the state shall be guilty of a crime and shall be punished by a fine of not more than $1,000, or by imprisonment for not more than five years, or by both such fine and imprisonment."" At trial, Rose admits taking the signs but says she believed they had been thrown away. In fact, the signs had not been abandoned. Rose should be found"
1,"miscrop,,samas,,scrags,,thakur","Ted frequently visited Janet, his next-door neighbor. Janet was separated from her husband, Howard. Howard resided with his mother but jointly owned the house in which Janet resided. Late one night, Ted and Janet were sitting on the bed in Janet\"
2,"pontificality,,unwary,,embryonally,,molestie","In 1970, Oscar, owner of a 100-acre tract, prepared and duly recorded a subdivision plan called Happy Acres. The plan showed 90 one-acre lots and a tenacre tract in the center that was designated ""Future Public School."" Oscar published and distributed a brochure promoting Happy Acres which emphasized the proximity of the lots to the school property and indicated potential tax savings ""because the school district will not have to expend tax money to acquire this property."" There is no specific statute concerning the dedication of school sites. Oscar sold 50 of the lots to individual purchasers. Each deed referred to the recorded plan and also contained the following clause: ""No mobile home shall be erected on any lot within Happy Acres."" Sarah was one of the original purchasers from Oscar. In 1976, Oscar sold the remaining 40 lots and the 10-acre tract to Max by a deed which referred to the plan and contained the restriction relating to mobile homes. Max sold the 40 lots to individual purchasers and the 10-acre tract to Pete. None of the deeds from Max referred to the plan or contained any reference to mobile homes.""Assume for this question only that Pete has announced his intention of erecting a fast-food restaurant on the 10-acre tract and that Sarah has filed an action to enjoin Pete. If Sarah wins, it will be because"
3,"wirespun,,twirly,,dialling,,inapprehension","In 1970, Oscar, owner of a 100-acre tract, prepared and duly recorded a subdivision plan called Happy Acres. The plan showed 90 one-acre lots and a tenacre tract in the center that was designated ""Future Public School."" Oscar published and distributed a brochure promoting Happy Acres which emphasized the proximity of the lots to the school property and indicated potential tax savings ""because the school district will not have to expend tax money to acquire this property."" There is no specific statute concerning the dedication of school sites. Oscar sold 50 of the lots to individual purchasers. Each deed referred to the recorded plan and also contained the following clause: ""No mobile home shall be erected on any lot within Happy Acres."" Sarah was one of the original purchasers from Oscar. In 1976, Oscar sold the remaining 40 lots and the 10-acre tract to Max by a deed which referred to the plan and contained the restriction relating to mobile homes. Max sold the 40 lots to individual purchasers and the 10-acre tract to Pete. None of the deeds from Max referred to the plan or contained any reference to mobile homes.""""Assume for this question only that Joe, who purchased his lot from Max, has placed a mobile home on it and that Sarah brings an action against Joe to force him to remove it. The result of this action will be in favor of"
0,"cerianthidae,,uninterruptible,,sclim,,uncloudedly","In 1970, Oscar, owner of a 100-acre tract, prepared and duly recorded a subdivision plan called Happy Acres. The plan showed 90 one-acre lots and a tenacre tract in the center that was designated ""Future Public School."" Oscar published and distributed a brochure promoting Happy Acres which emphasized the proximity of the lots to the school property and indicated potential tax savings ""because the school district will not have to expend tax money to acquire this property."" There is no specific statute concerning the dedication of school sites. Oscar sold 50 of the lots to individual purchasers. Each deed referred to the recorded plan and also contained the following clause: ""No mobile home shall be erected on any lot within Happy Acres."" Sarah was one of the original purchasers from Oscar. In 1976, Oscar sold the remaining 40 lots and the 10-acre tract to Max by a deed which referred to the plan and contained the restriction relating to mobile homes. Max sold the 40 lots to individual purchasers and the 10-acre tract to Pete. None of the deeds from Max referred to the plan or contained any reference to mobile homes.""Assume for this question only that in 1977 the school board of the district in which Happy Acres is situated has voted to erect a new school on the 10-acre tract. In an appropriate action between the school board and Pete to determine title, the result will be in favor of"
1,"haydenite,,oversanguinely,,acaridomatium,,nebulon","House owns his home in City. On the lawn in front of his home and within five feet of the public sidewalk there was a large tree. The roots of the tree caused the sidewalk to buckle severely and become dangerous. An ordinance of City requires adjacent landowners to keep sidewalks in safe condition. House engaged Contractor to repair the sidewalk, leaving it to Contractor to decide how the repair should be made. Contractor dug up the sidewalk, cut back the roots of the tree, and laid a new sidewalk. Two days after House had paid Contractor the agreed price of the repair, the tree fell over onto the street and damaged a parked car belonging to Driver. Driver has asserted claims against House and Contractor, and both defendants admit that cutting the roots caused the tree to fall.The theory on which Driver is most likely to prevail against House is that House is"
2,"unfestered,,backlogged,,knocked,,hospices","House owns his home in City. On the lawn in front of his home and within five feet of the public sidewalk there was a large tree. The roots of the tree caused the sidewalk to buckle severely and become dangerous. An ordinance of City requires adjacent landowners to keep sidewalks in safe condition. House engaged Contractor to repair the sidewalk, leaving it to Contractor to decide how the repair should be made. Contractor dug up the sidewalk, cut back the roots of the tree, and laid a new sidewalk. Two days after House had paid Contractor the agreed price of the repair, the tree fell over onto the street and damaged a parked car belonging to Driver. Driver has asserted claims against House and Contractor, and both defendants admit that cutting the roots caused the tree to fall.In the claim of Driver against Contractor, the best defense of Contractor is that"
3,"aplenty,,yokage,,succiferous,,sarcodous","House owns his home in City. On the lawn in front of his home and within five feet of the public sidewalk there was a large tree. The roots of the tree caused the sidewalk to buckle severely and become dangerous. An ordinance of City requires adjacent landowners to keep sidewalks in safe condition. House engaged Contractor to repair the sidewalk, leaving it to Contractor to decide how the repair should be made. Contractor dug up the sidewalk, cut back the roots of the tree, and laid a new sidewalk. Two days after House had paid Contractor the agreed price of the repair, the tree fell over onto the street and damaged a parked car belonging to Driver. Driver has asserted claims against House and Contractor, and both defendants admit that cutting the roots caused the tree to fall.If Driver recovers a judgment against House, does House have any recourse against Contractor?"
0,"unquantified,,sectarist,,brutedom,,increaser","The State of Rio Grande entered into a contract with Roads, Inc., for construction of a fourlane turnpike. Prior to commencement of construction, the legislature, in order to provide funds for parks, repealed the statute authorizing the turnpike and cancelled the agreement with Roads, Inc. Roads, Inc., sued the state to enforce its original agreement. In ruling on this case, a court should hold that the state statute cancelling the agreement is"
1,"muffetee,,accumulate,,megilp,,misanthropist",The strongest constitutional basis for the enactment of a federal statute requiring colleges and universities receiving federal funds to offer student aid solely on the basis of need is the
2,"creoles,,rased,,triennium,,hagtaper","In 1930, Owens, the owner in fee simple of Barrenacres, a large, undeveloped tract of land, granted an easement to the Water District ""to install, inspect, repair, maintain, and replace pipes"" within a properly delineated strip of land 20 feet wide across Barrenacres. The easement permitted the Water District to enter Barrenacres for only the stated purposes. The Water District promptly and properly recorded the deed. In 1931, the Water District installed a water main which crossed Barrenacres within the described strip; the Water District has not since entered Barrenacres. In 1935, Owens sold Barrenacres to Peterson, but the deed, which was promptly and properly recorded, failed to refer to the Water District easement. Peterson built his home on Barrenacres in 1935, and since that time he has planted and maintained, at great expense in money, time, and effort, a formal garden area which covers, among other areas, the surface of the 20-foot easement strip. In 1976, the Water District proposed to excavate the entire length of its main in order to inspect, repair, and replace the main, to the extent necessary. At a public meeting, at which Peterson was present, the Water District announced its plans and declared its intent to do as little damage as possible to any property involved. Peterson objected to the Water District plans.""Peterson asked his attorney to secure an injunction against the Water District and its proposed entry upon his property. The best advice that the attorney can give is that Peterson\"
3,"subbourdon,,regifuge,,tall,,farinhas","In 1930, Owens, the owner in fee simple of Barrenacres, a large, undeveloped tract of land, granted an easement to the Water District ""to install, inspect, repair, maintain, and replace pipes"" within a properly delineated strip of land 20 feet wide across Barrenacres. The easement permitted the Water District to enter Barrenacres for only the stated purposes. The Water District promptly and properly recorded the deed. In 1931, the Water District installed a water main which crossed Barrenacres within the described strip; the Water District has not since entered Barrenacres. In 1935, Owens sold Barrenacres to Peterson, but the deed, which was promptly and properly recorded, failed to refer to the Water District easement. Peterson built his home on Barrenacres in 1935, and since that time he has planted and maintained, at great expense in money, time, and effort, a formal garden area which covers, among other areas, the surface of the 20-foot easement strip. In 1976, the Water District proposed to excavate the entire length of its main in order to inspect, repair, and replace the main, to the extent necessary. At a public meeting, at which Peterson was present, the Water District announced its plans and declared its intent to do as little damage as possible to any property involved. Peterson objected to the Water District plans.""Assume that Peterson reserved his rights and after the Water District completed its work sued for the $5,000 in damages he suffered by reason of the Water District entry. Peterson\"
0,"semibelted,,incroyable,,crashproof,,flurt","In 1960, Omar, the owner in fee simple absolute, conveyed Stoneacre, a five-acre tract of land. The relevant, operative words of the deed conveyed to ""Church [a duly organized religious body having power to hold property] for the life of my son, Carl, and from and after the death of my said son, Carl, to all of my grandchildren and their heirs and assigns in equal shares; provided that Church shall use the premises for church purposes only."" In an existing building on Stoneacre, Church immediately began to conduct religious services and other activities normally associated with a church. In 1975, Church granted to Darin a right to remove sand and gravel from a one-half-acre portion of Stoneacre upon the payment of a royalty. Darin has regularly removed sand and gravel since 1975 and paid the royalty to Church. Church has continued to conduct religious services and other church activities on Stoneacre All four of the living grandchildren of Omar, joined by a guardian ad litem to represent unborn grandchildren, instituted suit against Church and Darin seeking damages for the removal of sand and gravel and an injunction preventing further acts of removal. There is no applicable statute. Which of the following best describes the likely disposition of this lawsuit?"
1,"consolidative,,controversially,,monopttera,,surv",In which of the following cases is a conviction of the named defendant for robbery LEAST likely to be upheld?
2,"urinalist,,indigest,,whiggarchy,,scrimmager","Green is cited for contempt of the House of Representatives after she refuses to answer certain questions posed by a House Committee concerning her acts while serving as a United States Ambassador. A federal statute authorizes the Attorney General to prosecute contempts of Congress. Pursuant to this law, the House directs the Attorney General to begin criminal proceedings against Green. A federal grand jury indicts Green, but the Attorney General refuses to sign the indictment.""Which of the following best describes the constitutionality of the Attorney General\"
3,"forra,,pullulating,,piketail,,mycohemia","Green is cited for contempt of the House of Representatives after she refuses to answer certain questions posed by a House Committee concerning her acts while serving as a United States Ambassador. A federal statute authorizes the Attorney General to prosecute contempts of Congress. Pursuant to this law, the House directs the Attorney General to begin criminal proceedings against Green. A federal grand jury indicts Green, but the Attorney General refuses to sign the indictment.""If the Attorney General signs the indictment, the strongest argument Green could urge as a defense is that"
0,"zoaria,,foible,,atomise,,moravianism","Harry met Bill, who was known to him to be a burglar, in a bar. Harry told Bill that he needed money. He promised to pay Bill $500 if Bill would go to Harry\"
1,"voiceprint,,jujitsus,,jocasta,,olivaster",Penn sued Duke\
2,"gruelingly,,abridgedly,,descaled,,gobbed","Penn sued Duke's Bar for injuries suffered in an automobile accident caused by Chase, who had been a patron of Duke's Bar. Penn claimed that Chase was permitted to drink too much liquor at Duke's Bar before the accidentDuke's Bar called Chase to testify and expected him to say that he was sober when he left Duke's Bar; however, on direct examination Chase testified that he may have had a little too much to drink at Duke's Bar. Duke's Bar now seeks to confront Chase with his statement made on deposition that he was sober when he left Duke's Bar. Which of the following is true concerning this statement?"
3,"typefaces,,cotylar,,cubation,,sparables","Penn sued Duke's Bar for injuries suffered in an automobile accident caused by Chase, who had been a patron of Duke's Bar. Penn claimed that Chase was permitted to drink too much liquor at Duke's Bar before the accidentPenn offered evidence that, after the accident, the manager of Duke's Bar established house rules limiting all customers to two drinks per hour, with a maximum limit of four drinks per night. This evidence is"
0,"moira,,trophoplast,,goliathize,,bestness","In a narcotics conspiracy prosecution against Daly, the prosecutor offers in evidence a tape recording of a telephone call allegedly made by Daly. A lay witness is called to testify that the voice on the recording is Daly's. Her testimony to which of the following would be the LEAST sufficient basis for admitting the recording?"
1,"guiltlessness,,pantrymen,,coxendix,,multidimensional","Devlin was the owner of a large subdivision. Parnell became interested in purchasing a lot but could not decide between Lot 40 and Lot 41. The price and fair market value of each of those two lots was $5,000. Parnell paid Devlin $5,000, which Devlin accepted, and Devlin delivered to Parnell a deed which was properly executed, complete, and ready for recording in every detail except that the space in the deed for the lot number was left blank. Devlin told Parnell to fill in either Lot 40 or Lot 41 according to his decision and then to record the deed. Parnell visited the development the next day and completely changed his mind, selecting Lot 25. He filled in Lot 25 and duly recorded the deed. The price of Lot 25 and its fair market value was $7,500.Immediately upon learning what Parnell had done, Devlin brought an appropriate action against Parnell to rescind the transaction. If Devlin loses, the most likely basis for the judgment is that"
2,"dotting,,lewder,,reappraising,,plover","Devlin was the owner of a large subdivision. Parnell became interested in purchasing a lot but could not decide between Lot 40 and Lot 41. The price and fair market value of each of those two lots was $5,000. Parnell paid Devlin $5,000, which Devlin accepted, and Devlin delivered to Parnell a deed which was properly executed, complete, and ready for recording in every detail except that the space in the deed for the lot number was left blank. Devlin told Parnell to fill in either Lot 40 or Lot 41 according to his decision and then to record the deed. Parnell visited the development the next day and completely changed his mind, selecting Lot 25. He filled in Lot 25 and duly recorded the deed. The price of Lot 25 and its fair market value was $7,500.Assume the following facts for this question only. Before Devlin had time to learn of Parnell's actions, Parnell sold Lot 25 to Caruso for $6,000 by a duly and properly executed, delivered, and recorded warranty deed. Caruso knew that Devlin had put a price of $7,500 on 14 Lot 25, but he knew no other facts regarding the Devlin-Parnell transaction. Caruso's attorney accurately reported Parnell's record title to be good, marketable, and free of encumbrances. Neither Caruso nor his attorney made any further investigation outside the record. Devlin brought an appropriate action against Caruso to recover title to Lot 25. If Devlin loses, the most likely basis for the judgment is that"
3,"telphermen,,phrensy,,pterobranchia,,cholecystectasia","Ohner owns the Acme Hotel. When the International Order of Badgers came to town for its convention, its members rented 400 of the 500 rooms, and the hotel opened its convention facilities to them. Badgers are a rowdy group, and during their convention they littered both the inside and the outside of the hotel with debris and bottles. The hotel manager knew that objects were being thrown out of the hotel windows. At his direction, hotel employees patrolled the hallways telling the guests to refrain from such conduct. Ohner was out of town and was not aware of the problems which were occurring. During the convention, as Smith walked past the Acme Hotel on the sidewalk, he was hit and injured by an ashtray thrown out of a window in the hotel. Smith sued Ohner for damages for his injuries. Will Smith prevail in his claim against Ohner?"
0,"cowleech,,indimensible,,unincised,,frivolism",While negligently driving his father\
1,"bitstock,,devotionalness,,pansmith,,unlaid","Until 1954, the state of New Atlantic required segregation in all public and private schools, but all public schools are now desegregated. Other state laws, enacted before 1954 and continuing to the present, provide for free distribution of the same textbooks on secular subjects to students in all public and private schools. In addition, the state accredits schools and certifies teachers. Little White School, a private school that offers elementary and secondary education in the state denies admission to all non-Caucasians. Stone School is a private school that offers religious instruction.""Which of the following is the strongest argument against the constitutionality of free distribution of textbooks to the students at the Little White School?"
2,"jocelin,,lethargised,,sahukar,,egestion","Until 1954, the state of New Atlantic required segregation in all public and private schools, but all public schools are now desegregated. Other state laws, enacted before 1954 and continuing to the present, provide for free distribution of the same textbooks on secular subjects to students in all public and private schools. In addition, the state accredits schools and certifies teachers. Little White School, a private school that offers elementary and secondary education in the state denies admission to all non-Caucasians. Stone School is a private school that offers religious instruction.""Which of the following is the strongest argument in favor of the constitutionality of free distribution of textbooks to the students at Stone School?"
3,"moderns,,windflower,,subsplenial,,nemesia",Defendant is charged with assault and battery. The state's evidence shows that Victim was struck in the face by Defendant's fist. In which of the following situations is Defendant most likely to be not guilty of assault and battery?
0,"denunciating,,owly,,congressionalist,,preterite","Leader is a labor leader in Metropolis. Ten years ago he was divorced. Both he and his first wife 16 have since married other persons. Recently, News, a newspaper in another city, ran a feature article on improper influences it asserted had been used by labor officials to secure favorable rulings from government officials. The story said that in 1960 Leader's first wife, with Leader's knowledge and concurrence, gave sexual favors to the mayor of Metropolis and then persuaded him to grant concessions to Leader's union, with which Metropolis was then negotiating a labor contract. The story named Leader and identified his first wife by her former and current surnames. The reporter for News believed the story to be true, since it had been related to him by two very reliable sources. Leader's first wife suffered emotional distress and became very depressed. If she asserts a claim based on defamation against News, she will"
1,"unimprovedly,,verty,,knockers,,unmasterfully","In 1976, Utility constructed a new plant for the generation of electricity. The plant burns lignite, a low-grade fuel which is available in large quantities. Although the plant was constructed in accordance with the best practicable technology, the plant emits a substantial quantity of invisible fumes. The only way Utility can reduce the fumes is by the use of scrubbing equipment that would cost $50,000,000 to install and would increase the retail price of generated electricity by 50 percent while reducing the volume of fumes by only 20 percent. Because of the expense of such equipment and its relative ineffectiveness, no other generating plants burning lignite use such equipment. The plant is located in a sparsely settled rural area, remote from the large city served by Utility. Farmer owned a farm adjacent to the plant. He had farmed the land for 40 years and had lived on the premises. The prevailing winds carry fumes from the new plant over Farmer\"
2,"uprooters,,nitrometric,,deepest,,tubulibranch","On March 1, Computer Programs, Inc. (CP) orally agreed with Holiday Department Store (HDS) to write a set of programs for HDS\"
3,"rg,,thrombostasis,,rhinoceri,,intertwin","Police Officer stopped Dexter for speeding late one night. Noting that Dexter was nervous, Police Officer ordered him from the car and placed him under arrest for speeding. By state law, Police Officer was empowered to arrest Dexter and take him to the nearest police station for booking. Police Officer searched Dexter's person and discovered a package of heroin in his jacket pocket. Dexter is charged with possession of heroin. At trial, Dexter's motion to prevent introduction of the heroin into evidence, on the ground that the search violated his federal constitutional rights, will most probably be"
0,"unneutralize,,nunchion,,germanization,,uninstigative","Donna was arrested and taken to police headquarters, where she was given her Miranda warnings. Donna indicated that she wished to telephone her lawyer and was told that she could do so after her fingerprints had been taken. While being fingerprinted, however, Donna blurted out, ""Paying a lawyer is a waste of money because I know you have me."" At trial, Donna\"
1,"enlists,,megapolitan,,skuse,,exarticulation","Barnes was hired as an assistant professor of mathematics at Reardon State College and is now in his third consecutive one-year contract. Under state law, he cannot acquire tenure until after five consecutive annual contracts. In his third year, Barnes was notified that he was not being rehired for the following year. Applicable state law and college rules did not require either a statement of reasons or a hearing, and in fact neither was offered to BarnesWhich of the following, if established, sets forth the strongest constitutional argument Barnes could make to compel the college to furnish him a statement of reasons for the failure to rehire him and an opportunity for a hearing?"
2,"geotectonics,,sacrocoxalgia,,asci,,philoneism","Barnes was hired as an assistant professor of mathematics at Reardon State College and is now in his third consecutive one-year contract. Under state law, he cannot acquire tenure until after five consecutive annual contracts. In his third year, Barnes was notified that he was not being rehired for the following year. Applicable state law and college rules did not require either a statement of reasons or a hearing, and in fact neither was offered to BarnesWhich of the following, if established, most strongly supports the college in refusing to give Barnes a statement of reasons or an opportunity for a hearing?"
3,"fernlike,,irred,,pollenigerous,,electromobilism",National regulation of predatory wild animals on federal lands is most likely
0,"coccomyces,,postpartum,,synchronizing,,philofelist","By her validly executed will, Sallie devised a certain tract of land to her son, Ben, for his life with remainder to such of Ben\"
1,"fatigue,,unsyllabicated,,germs,,hulkily","Seth was an elderly widower who lived alone on a small farm which he owned. Except for the farm, including the house and its furnishings, and the usual items of personal clothing and similar things, Seth owned substantially no property. Under proper management, the farm was capable of producing an adequate family income. Because of the usual deterioration accompanying old age, Seth was unable to do farm work or even to provide for his own personal needs. Seth entered into an oral contract with his nephew, Jim, by which Seth agreed to convey the farm to Jim and Jim agreed to move into the house with Seth, operate the farm, and take care of Seth for the rest of his life. The oral contract was silent as to when the land was to be conveyed. Jim, who lived about 50 miles away where he was operating a small business of his own, terminated his business and moved in with Seth. With the assistance of his wife, Jim gave Seth excellent care until Seth died intestate about five years after the date of the contract. In his final years Seth was confined to his bed and required much personal service of an intimate and arduous sort. Seth was survived by his only son, Sol, who was also Seth's sole heir and next of kin. Sol resided in a distant city and gave his father no attention in his father's final years. Sol showed up for Seth's funeral and demanded that Jim vacate the farm immediately. Upon Jim's refusal to do so, Sol brought an appropriate action for possession. Jim answered by way of a counterclaim to establish Jim's right to possession and title to the farm. 20 If the court's decision is in favor of Jim, it will be because"
2,"unlegislatively,,tanghin,,comfiest,,presbyter","The following events took place in a state that does not recognize common law marriage. The state does recognize the common law estate of tenancy by the entirety and has no statute on the subject. Wade Sloan and Mary Isaacs, who were never formally married, lived together over a sevenyear period. During this time Mary identified herself as ""Mrs. Sloan"" with the knowledge and consent of Wade. Wade and Mary maintained several charge accounts at retail stores under the names ""Mr. and Mrs. Wade Sloan,"" and they filed joint income tax returns as Mr. and Mrs. Sloan. Within this period Wade decided to buy a home. The deed was in proper form and identified the grantees as ""Wade Sloan and Mary Sloan his wife, and their heirs and assigns forever as tenants by the entirety."" Wade made a down payment of $10,000 and gave a note and mortgage for the unpaid balance. Both Wade and Mary signed the note and mortgage for the unpaid balance. Both Wade and Mary signed the note and mortgage as husband and wife. Wade made the monthly payments as they became due until he and Mary had a disagreement and he abandoned her and the house. Mary then made the payments for three months. She then brought an action against Wade for partition of the land in question. The prayer for partition should be"
3,"unreflectingly,,olympus,,interstreet,,equisetum",Sand Company operated an installation for distributing sand and gravel. The installation was adjacent to a residential area. On Sand\
0,"moodiest,,ingratiates,,saphenal,,snot","Driving down a dark road, Defendant accidentally ran over a man. Defendant stopped and found that the victim was dead. Defendant, fearing that he might be held responsible, took the victim's wallet, which contained a substantial amount of money. He removed the identification papers and put the wallet and money back into the victim's pocket. Defendant is not guilty of"
1,"laparocystotomy,,capitalists,,kinglet,,benighten","Al and Bill are identical twins. Al, angry at David, said, ""You\"
