question,subject,choices
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, surges,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, unoxidative,, alunogen]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, alunogen,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, alunogen,, surges]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, surges,, alunogen]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, liferenter,, surges]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, surges,, liferenter]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, liferenter,, alunogen]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, alunogen,, liferenter]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, unoxidative,, surges]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, surges,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, liferenter,, surges]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, surges,, liferenter]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, liferenter,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, unoxidative,, liferenter]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, unoxidative,, alunogen]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, alunogen,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, liferenter,, alunogen]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, alunogen,, liferenter]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, liferenter,, unoxidative]"
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, unoxidative,, liferenter]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, subfalciform,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, necklike,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, wideband,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, necklike,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, wideband,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, subfalciform,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, subfalciform,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, necklike,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, rollouts,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, necklike,, rollouts]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, rollouts,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, subfalciform,, rollouts]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, wideband,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, necklike,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, rollouts,, necklike]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, necklike,, rollouts]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, rollouts,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, wideband,, rollouts]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, wideband,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, subfalciform,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, rollouts,, subfalciform]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, subfalciform,, rollouts]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, rollouts,, wideband]"
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, wideband,, rollouts]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, acetanilide,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, anama,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, preinfection,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, anama,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, preinfection,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, acetanilide,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, acetanilide,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, anama,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, lymphopenial,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, anama,, lymphopenial]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, lymphopenial,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, acetanilide,, lymphopenial]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, preinfection,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, anama,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, lymphopenial,, anama]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, anama,, lymphopenial]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, lymphopenial,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, preinfection,, lymphopenial]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, preinfection,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, acetanilide,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, lymphopenial,, acetanilide]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, acetanilide,, lymphopenial]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, lymphopenial,, preinfection]"
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, preinfection,, lymphopenial]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, pourvete,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, lachrymogenic,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, linkiest,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, lachrymogenic,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, linkiest,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, pourvete,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, pourvete,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, lachrymogenic,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, tamacoare,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, lachrymogenic,, tamacoare]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, tamacoare,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, pourvete,, tamacoare]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, linkiest,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, lachrymogenic,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, tamacoare,, lachrymogenic]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, lachrymogenic,, tamacoare]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, tamacoare,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, linkiest,, tamacoare]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, linkiest,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, pourvete,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, tamacoare,, pourvete]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, pourvete,, tamacoare]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, tamacoare,, linkiest]"
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, linkiest,, tamacoare]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, unclassableness,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, nontangentially,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, mabinogion,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, nontangentially,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, mabinogion,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, unclassableness,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, unclassableness,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, nontangentially,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, depressionary,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, nontangentially,, depressionary]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, depressionary,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, unclassableness,, depressionary]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, mabinogion,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, nontangentially,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, depressionary,, nontangentially]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, nontangentially,, depressionary]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, depressionary,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, mabinogion,, depressionary]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, mabinogion,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, unclassableness,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, depressionary,, unclassableness]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, unclassableness,, depressionary]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, depressionary,, mabinogion]"
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, mabinogion,, depressionary]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, uneffeminated,, antiportable]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, antiportable,, uneffeminated]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, barratrous,, antiportable]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, antiportable,, barratrous]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, barratrous,, uneffeminated]"
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, uneffeminated,, barratrous]"
