question,subject,choices,answer_original_temperature:0.7,answer_fine-tuned_temperature:0.7
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, massaging,, impracticably]",3.0,1.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, impracticably,, massaging]",1.0,2.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",1.0,1.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, amphipodal,, massaging]",0.0,0.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, amphipodal,, tricarbimide]",0.0,0.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, tricarbimide,, amphipodal]",0.0,3.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, massaging,, tricarbimide]",0.0,2.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, tricarbimide,, massaging]",3.0,1.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, massaging,, amphipodal]",0.0,1.0
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, amphipodal,, massaging]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",3.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, subunequal,, hexachlorocyclohexane]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, sorbate,, subunequal]",3.0,0.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",2.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, sorbate,, hexachlorocyclohexane]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, hexachlorocyclohexane,, sorbate]",0.0,3.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, hexachlorocyclohexane,, subunequal]",3.0,0.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, subunequal,, hexachlorocyclohexane]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, hypertrophied,, subunequal]",3.0,3.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, subunequal,, hypertrophied]",2.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hypertrophied,, hexachlorocyclohexane]",3.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hexachlorocyclohexane,, hypertrophied]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, sorbate,, subunequal]",3.0,3.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, subunequal,, sorbate]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",3.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, hypertrophied,, sorbate]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, sorbate,, hypertrophied]",1.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, sorbate,, hexachlorocyclohexane]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, hexachlorocyclohexane,, sorbate]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hypertrophied,, hexachlorocyclohexane]",0.0,2.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hexachlorocyclohexane,, hypertrophied]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, hypertrophied,, sorbate]",0.0,1.0
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, sorbate,, hypertrophied]",0.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, alunogen,, surges]",3.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, surges,, alunogen]",0.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, unoxidative,, surges]",1.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, surges,, unoxidative]",1.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, unoxidative,, alunogen]",3.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, alunogen,, unoxidative]",0.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, alunogen,, surges]",1.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, surges,, alunogen]",2.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, liferenter,, surges]",0.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, surges,, liferenter]",3.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, liferenter,, alunogen]",1.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, alunogen,, liferenter]",1.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, unoxidative,, surges]",3.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, surges,, unoxidative]",0.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, liferenter,, surges]",0.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, surges,, liferenter]",3.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, liferenter,, unoxidative]",3.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, unoxidative,, liferenter]",0.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, unoxidative,, alunogen]",1.0,1.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, alunogen,, unoxidative]",0.0,3.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, liferenter,, alunogen]",0.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, alunogen,, liferenter]",0.0,0.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, liferenter,, unoxidative]",0.0,2.0
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, unoxidative,, liferenter]",0.0,0.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, subfalciform,, necklike]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, necklike,, subfalciform]",1.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, wideband,, necklike]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, necklike,, wideband]",0.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, wideband,, subfalciform]",1.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, subfalciform,, wideband]",3.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, subfalciform,, necklike]",0.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, necklike,, subfalciform]",1.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, rollouts,, necklike]",0.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, necklike,, rollouts]",0.0,0.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, rollouts,, subfalciform]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, subfalciform,, rollouts]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, wideband,, necklike]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, necklike,, wideband]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, rollouts,, necklike]",1.0,3.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, necklike,, rollouts]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, rollouts,, wideband]",0.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, wideband,, rollouts]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, wideband,, subfalciform]",2.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, subfalciform,, wideband]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, rollouts,, subfalciform]",1.0,2.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, subfalciform,, rollouts]",1.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, rollouts,, wideband]",0.0,1.0
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, wideband,, rollouts]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, acetanilide,, anama]",2.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, anama,, acetanilide]",3.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, preinfection,, anama]",0.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, anama,, preinfection]",1.0,3.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, preinfection,, acetanilide]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, acetanilide,, preinfection]",2.0,3.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, acetanilide,, anama]",2.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, anama,, acetanilide]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, lymphopenial,, anama]",0.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, anama,, lymphopenial]",0.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, lymphopenial,, acetanilide]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, acetanilide,, lymphopenial]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, preinfection,, anama]",2.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, anama,, preinfection]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, lymphopenial,, anama]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, anama,, lymphopenial]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, lymphopenial,, preinfection]",1.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, preinfection,, lymphopenial]",0.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, preinfection,, acetanilide]",2.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, acetanilide,, preinfection]",2.0,2.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, lymphopenial,, acetanilide]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, acetanilide,, lymphopenial]",0.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, lymphopenial,, preinfection]",1.0,1.0
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, preinfection,, lymphopenial]",0.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, pourvete,, lachrymogenic]",0.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, lachrymogenic,, pourvete]",2.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, linkiest,, lachrymogenic]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, lachrymogenic,, linkiest]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, linkiest,, pourvete]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, pourvete,, linkiest]",1.0,0.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, pourvete,, lachrymogenic]",0.0,2.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, lachrymogenic,, pourvete]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, tamacoare,, lachrymogenic]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, lachrymogenic,, tamacoare]",0.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, tamacoare,, pourvete]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, pourvete,, tamacoare]",0.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, linkiest,, lachrymogenic]",1.0,3.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, lachrymogenic,, linkiest]",1.0,0.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, tamacoare,, lachrymogenic]",3.0,2.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, lachrymogenic,, tamacoare]",1.0,2.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, tamacoare,, linkiest]",1.0,2.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, linkiest,, tamacoare]",0.0,0.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, linkiest,, pourvete]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, pourvete,, linkiest]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, tamacoare,, pourvete]",1.0,2.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, pourvete,, tamacoare]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, tamacoare,, linkiest]",1.0,1.0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, linkiest,, tamacoare]",3.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, unclassableness,, nontangentially]",1.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, nontangentially,, unclassableness]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, mabinogion,, nontangentially]",1.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, nontangentially,, mabinogion]",1.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, mabinogion,, unclassableness]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, unclassableness,, mabinogion]",3.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, unclassableness,, nontangentially]",0.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, nontangentially,, unclassableness]",0.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, depressionary,, nontangentially]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, nontangentially,, depressionary]",0.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, depressionary,, unclassableness]",0.0,0.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, unclassableness,, depressionary]",0.0,0.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, mabinogion,, nontangentially]",0.0,0.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, nontangentially,, mabinogion]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, depressionary,, nontangentially]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, nontangentially,, depressionary]",0.0,0.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, depressionary,, mabinogion]",0.0,0.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, mabinogion,, depressionary]",0.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, mabinogion,, unclassableness]",3.0,2.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, unclassableness,, mabinogion]",0.0,1.0
