question,subject,choices,a_ori,b_ori,d_ori,c_ori,b_ft,d_ft,c_ft,a_ft
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",0.35969749,0.000639643,0.63964264,2.02E-05,0.210004559,0.664092574,0.088558188,0.037344678
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, subunequal,, hexachlorocyclohexane]",0.998070683,0.000177485,0.000420883,0.001330949,0.27429146,0.36577354,0.205689577,0.154245423
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, sorbate,, subunequal]",0.150907462,0.000477211,0.848615176,1.51E-07,0.55688792,0.313161091,0.055688792,0.074262198
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",0.424974473,0.007557237,0.000755724,0.566712567,0.566313089,0.179083923,0.179083923,0.075519064
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, sorbate,, hexachlorocyclohexane]",0.990081164,0.004175137,0.005567635,0.000176064,0.376104731,0.376104731,0.15860205,0.089188487
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, hexachlorocyclohexane,, sorbate]",0.998075987,0.000748451,0.000177486,0.000998076,0.355111595,0.266296129,0.266296129,0.112296146
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, hexachlorocyclohexane,, subunequal]",1.00E-04,1.00E-05,0.99988998,3.16E-08,0.138447823,0.778549323,0.058382963,0.024619891
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, subunequal,, hexachlorocyclohexane]",0.992206615,0.000176442,0.000176442,0.007440501,0.334780525,0.334780525,0.251049977,0.079388973
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, hypertrophied,, subunequal]",1.00E-07,1.78E-11,0.9999999,2.37E-12,0.00418767,0.993053351,0.001765926,0.000993053
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, subunequal,, hypertrophied]",0.998920554,5.62E-06,7.49E-05,0.00099892,0.42563721,0.319182879,0.179489723,0.075690189
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hypertrophied,, hexachlorocyclohexane]",0.925985959,0.001646662,0.069439154,0.002928225,0.156529901,0.66008112,0.117380867,0.066008112
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hexachlorocyclohexane,, hypertrophied]",0.989936321,0.007423476,0.001320102,0.001320102,0.423402288,0.238096604,0.238096604,0.100404505
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, sorbate,, subunequal]",0.026117593,0.825910987,0.14687005,0.00110137,0.650946214,0.20584722,0.115756398,0.027450168
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, subunequal,, sorbate]",0.057013643,0.760289143,0.002404246,0.180292968,0.585670418,0.185205248,0.185205248,0.043919086
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",0.021942991,0.000693898,0.925328091,0.05203502,0.46165452,0.346192051,0.145987977,0.046165452
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",0.914676176,0.012197404,0.021690393,0.051436027,0.505415748,0.284216161,0.159826493,0.050541598
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, hypertrophied,, sorbate]",0.357241803,0.635275742,0.001129698,0.006352757,0.479837744,0.269832593,0.202345899,0.047983763
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, sorbate,, hypertrophied]",0.239498011,0.75735921,0.001795982,0.001346797,0.505415765,0.284216171,0.159826498,0.050541565
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, sorbate,, hexachlorocyclohexane]",0.999657014,0.000316119,2.37E-05,3.16E-06,0.434167347,0.32557958,0.13729577,0.102957303
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, hexachlorocyclohexane,, sorbate]",0.999642278,0.000316115,1.00E-05,3.16E-05,0.462563409,0.26011852,0.195061372,0.082256699
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hypertrophied,, hexachlorocyclohexane]",0.998329333,0.000315699,0.001331294,2.37E-05,0.296050346,0.526460235,0.124843396,0.052646023
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hexachlorocyclohexane,, hypertrophied]",0.999824331,0.000133329,4.22E-05,1.78E-07,0.486287416,0.27345951,0.153777583,0.08647549
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, hypertrophied,, sorbate]",0.999977969,1.78E-05,4.22E-06,3.16E-08,0.562634629,0.237261056,0.100052158,0.100052158
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, sorbate,, hypertrophied]",0.999939535,5.62E-05,4.22E-06,1.78E-08,0.59227649,0.249760867,0.078981321,0.078981321
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, alunogen,, surges]",0.720835745,0.022794824,0.128184716,0.128184716,0.244574161,0.326144885,0.326144885,0.103136068
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, surges,, alunogen]",0.938522222,0.012515396,0.039577158,0.009385223,0.256682553,0.342291686,0.256682553,0.144343207
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, unoxidative,, surges]",0.689704526,0.091973598,0.218103772,0.000218104,0.434732408,0.244467998,0.183325136,0.137474458
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, surges,, unoxidative]",0.912945329,0.051338683,0.028869863,0.006846125,0.380450433,0.213943,0.285297576,0.12030899
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, unoxidative,, alunogen]",0.846577081,0.150545052,0.002677112,0.000200755,0.409683204,0.230381796,0.230381796,0.129553204
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, alunogen,, unoxidative]",0.636601965,0.357987592,0.004773841,0.000636602,0.41975365,0.132737759,0.314770832,0.132737759
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, alunogen,, surges]",0.188449798,0.335116395,0.335116395,0.141317412,0.326144885,0.244574161,0.326144885,0.103136068
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, surges,, alunogen]",0.507642095,0.090272948,0.02140709,0.380677867,0.392253326,0.220580255,0.294148497,0.093017922
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, liferenter,, surges]",0.479768337,0.020231663,0.479768337,0.020231663,0.401596188,0.225834133,0.301154656,0.071415023
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, surges,, liferenter]",0.526460235,0.052646023,0.124843396,0.296050346,0.364940959,0.205221383,0.364940959,0.064896699
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, liferenter,, alunogen]",0.510663734,0.382943777,0.068098103,0.038294386,0.409683204,0.230381796,0.230381796,0.129553204
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, alunogen,, liferenter]",0.720319778,0.170814738,0.096056186,0.012809298,0.335116395,0.188449798,0.335116395,0.141317412
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, unoxidative,, surges]",0.388156233,0.517614656,0.092046348,0.002182763,0.521988175,0.165067154,0.220120588,0.092824082
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, surges,, unoxidative]",0.338546795,0.602030864,0.0142764,0.045145941,0.472279558,0.199158638,0.265582313,0.062979491
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, liferenter,, surges]",0.581877277,0.058187728,0.327213639,0.032721356,0.326144885,0.244574161,0.326144885,0.103136068
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, surges,, liferenter]",0.725001724,0.072500179,0.171925018,0.030573079,0.315299195,0.315299195,0.236441041,0.132960568
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, liferenter,, unoxidative]",0.423943808,0.565338154,0.007538908,0.003179131,0.434732408,0.183325136,0.244467998,0.137474458
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, unoxidative,, liferenter]",0.756085925,0.239095308,0.004251783,0.000566984,0.5348758,0.169142579,0.169142579,0.126839041
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, unoxidative,, alunogen]",0.981071072,0.017446187,0.001308279,0.000174462,0.434732408,0.244467998,0.183325136,0.137474458
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, alunogen,, unoxidative]",0.926653771,0.069489239,0.000926654,0.002930336,0.415156865,0.175070198,0.311323729,0.098449207
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, liferenter,, alunogen]",0.938670543,0.029683363,0.022259387,0.009386706,0.301910897,0.226401233,0.301910897,0.169776974
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, alunogen,, liferenter]",0.998449044,0.000998449,0.00023677,0.000315737,0.27429146,0.205689577,0.36577354,0.154245423
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, liferenter,, unoxidative]",0.993354919,0.005586044,0.000744911,0.000314126,0.505738453,0.089934428,0.284397632,0.119929487
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, unoxidative,, liferenter]",0.997896592,0.001774539,0.000315563,1.33E-05,0.513167019,0.16227766,0.16227766,0.16227766
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, subfalciform,, necklike]",0.948869635,0.040013497,0.00400135,0.007115518,0.497037351,0.279504642,0.157177011,0.066280996
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, necklike,, subfalciform]",0.951711043,0.030095747,0.016924082,0.001269127,0.445642745,0.334184914,0.14092461,0.079247732
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, wideband,, necklike]",0.944666406,0.053122489,0.001679881,0.000531225,0.597188247,0.251832196,0.106196756,0.044782801
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, necklike,, wideband]",0.879556882,0.117290809,0.002781403,0.000370906,0.588399892,0.248126177,0.104633941,0.058839989
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, wideband,, subfalciform]",0.890934566,0.066810667,0.021127383,0.021127383,0.526460235,0.296050346,0.124843396,0.052646023
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, subfalciform,, wideband]",0.94592386,0.039889282,0.007093429,0.007093429,0.551598217,0.174430688,0.232607061,0.041364035
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, subfalciform,, necklike]",0.855015597,0.048081049,0.011401814,0.08550154,0.472279558,0.265582313,0.199158638,0.062979491
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, necklike,, subfalciform]",0.821164484,0.082116458,0.082116458,0.014602601,0.505415754,0.284216165,0.159826495,0.050541587
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, rollouts,, necklike]",0.789593477,0.187242108,0.018724206,0.004440209,0.46165452,0.346192051,0.145987977,0.046165452
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, necklike,, rollouts]",0.925749006,0.069421393,0.003903852,0.000925749,0.497037351,0.279504642,0.157177011,0.066280996
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, rollouts,, subfalciform]",0.556887863,0.074262207,0.313161131,0.055688799,0.42563721,0.319182879,0.179489723,0.075690189
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, subfalciform,, rollouts]",0.851776464,0.047898915,0.015146967,0.085177654,0.494750463,0.20863454,0.20863454,0.087980456
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, wideband,, necklike]",0.939699997,0.03962682,0.003962684,0.016710499,0.534394572,0.225352343,0.168990417,0.071262668
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, necklike,, wideband]",0.896359818,0.089635982,0.005040602,0.008963598,0.497037351,0.279504642,0.157177011,0.066280996
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, rollouts,, necklike]",0.952790292,0.040178836,0.003012988,0.004017884,0.557977817,0.235297273,0.13231738,0.074407531
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, necklike,, rollouts]",0.940191259,0.052870842,0.002973145,0.003964753,0.552399674,0.174684115,0.174684115,0.098232097
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, rollouts,, wideband]",0.645336193,0.204073223,0.064533619,0.086056964,0.454654134,0.340942502,0.143774261,0.060629103
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, wideband,, rollouts]",0.448868325,0.189286203,0.025241715,0.336603757,0.494750463,0.20863454,0.20863454,0.087980456
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, wideband,, subfalciform]",0.208607294,0.370962055,0.049468596,0.370962055,0.494750463,0.20863454,0.20863454,0.087980456
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, subfalciform,, wideband]",0.427361111,0.427361111,0.010134329,0.135143449,0.521988175,0.220120588,0.165067154,0.092824082
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, rollouts,, subfalciform]",0.144204574,0.810921835,0.019229989,0.025643602,0.472279558,0.265582313,0.199158638,0.062979491
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, subfalciform,, rollouts]",0.222405686,0.703308466,0.003954995,0.070330853,0.543428287,0.096636727,0.305592162,0.054342825
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, rollouts,, wideband]",0.26171476,0.620623558,0.082761474,0.034900208,0.497037351,0.279504642,0.157177011,0.066280996
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, wideband,, rollouts]",0.300000475,0.533484668,0.040005706,0.126509151,0.544092059,0.172057016,0.229441719,0.054409206
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, acetanilide,, anama]",0.54611938,0.129505314,0.017269811,0.307105496,0.462563409,0.195061372,0.26011852,0.082256699
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, anama,, acetanilide]",0.740772844,0.234252925,0.007407731,0.017566499,0.445642745,0.334184914,0.14092461,0.079247732
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, preinfection,, anama]",0.459659845,0.459659845,0.019383692,0.061296617,0.622034882,0.147507716,0.147507716,0.082949685
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, anama,, preinfection]",0.55569053,0.41670911,0.00416709,0.02343327,0.60482713,0.143427082,0.191263088,0.060482699
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, preinfection,, acetanilide]",0.175019441,0.01312461,0.073805086,0.738050863,0.401596188,0.225834133,0.301154656,0.071415023
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, acetanilide,, preinfection]",0.030553573,0.000966189,0.002291195,0.966189043,0.370962059,0.208607296,0.370962059,0.049468586
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, acetanilide,, anama]",0.951711045,0.001269127,0.030095744,0.016924084,0.450212122,0.189852878,0.253172881,0.106762119
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, anama,, acetanilide]",0.991830423,0.000313644,0.007437681,0.000418252,0.315299195,0.315299195,0.236441041,0.132960568
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, lymphopenial,, anama]",0.998942514,5.62E-05,0.000998942,2.37E-06,0.485183869,0.363836574,0.064700309,0.086279248
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, anama,, lymphopenial]",0.999494358,0.000237017,0.000237017,3.16E-05,0.558502429,0.176613976,0.132441798,0.132441798
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, lymphopenial,, acetanilide]",0.981435032,0.000981435,0.017452657,0.000130876,0.311323729,0.415156865,0.175070198,0.098449207
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, acetanilide,, lymphopenial]",0.992105877,0.001322995,0.000992106,0.005579022,0.404158836,0.095841164,0.404158836,0.095841164
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, preinfection,, anama]",0.944666392,0.000531225,0.053122502,0.001679881,0.365240197,0.365240197,0.154020514,0.115499092
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, anama,, preinfection]",0.992259443,0.000418432,0.004184324,0.0031378,0.415673496,0.233750385,0.17528806,0.17528806
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, lymphopenial,, anama]",0.997173498,0.001773253,0.000997174,5.61E-05,0.52743416,0.222417141,0.12507435,0.12507435
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, anama,, lymphopenial]",0.996926063,0.000996926,0.001329422,0.000747589,0.486818883,0.205289821,0.153945648,0.153945648
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, lymphopenial,, preinfection]",0.939712919,0.052843953,0.007046854,0.000396274,0.52743416,0.222417141,0.12507435,0.12507435
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, preinfection,, lymphopenial]",0.978945412,0.017408389,0.000550502,0.003095698,0.5348758,0.169142579,0.169142579,0.126839041
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, preinfection,, acetanilide]",0.467103948,0.003502787,0.062289318,0.467103948,0.149466749,0.265793642,0.47265536,0.112084249
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, acetanilide,, preinfection]",0.117629399,0.000117629,0.000156861,0.88209611,0.311323729,0.175070198,0.415156865,0.098449207
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, lymphopenial,, acetanilide]",0.95417097,0.005365698,0.040237062,0.00022627,0.401958587,0.301426417,0.169504531,0.127110466
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, acetanilide,, lymphopenial]",0.995811729,0.001770831,5.60E-05,0.002361441,0.47265536,0.149466749,0.265793642,0.112084249
