question,subject,choices,answer_original_temperature:0,answer_fine-tuned_temperature:0
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, tamacoare,, pourvete]",1.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, nontangentially,, mabinogion]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, mabinogion,, depressionary]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, depressionary,, unclassableness]",0.0,1.0
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, depressionary,, unclassableness]",0.0,1.0
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, uneffeminated,, antiportable]",0.0,1.0
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, hemophilia,, barratrous,, antiportable]",0.0,1.0
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, barratrous,, antiportable,, hemophilia]",0.0,1.0
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, uneffeminated,, barratrous,, hemophilia]",0.0,1.0
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, arborization,, cudgerie,, shasliks]",0.0,1.0
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, arborization,, isocorybulbin,, shasliks]",0.0,1.0
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, shasliks,, isocorybulbin,, cudgerie]",0.0,1.0
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, cudgerie,, arborization,, shasliks]",0.0,1.0
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, overappreciative,, quinquagenary,, guajiras]",0.0,1.0
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, pseudotracheal,, quinquagenary,, overappreciative]",0.0,2.0
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, pseudotracheal,, overappreciative,, quinquagenary]",0.0,1.0
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, quinquagenary,, pseudotracheal,, guajiras]",0.0,1.0
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[nongerundial,, occipitoaxial,, semisentimental,, redressal]",0.0,1.0
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[occipitoaxial,, semisentimental,, redressal,, nongerundial]",0.0,1.0
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[occipitoaxial,, semisentimental,, nongerundial,, redressal]",0.0,1.0
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, semisentimental,, occipitoaxial,, nongerundial]",0.0,1.0
