question,subject,choices,b_ft,d_ft,c_ft,a_ft
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, liferenter,, surges]",0.3200325,0.3200325,0.1799675,0.1799675
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, alunogen,, surges,, liferenter]",0.301910897,0.169776974,0.226401233,0.301910897
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, liferenter,, alunogen]",0.220839589,0.220839589,0.165606329,0.392714494
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, surges,, alunogen,, liferenter]",0.230759214,0.230759214,0.230759214,0.307722358
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, unoxidative,, surges]",0.342291686,0.256682553,0.144343207,0.256682553
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, liferenter,, surges,, unoxidative]",0.480646671,0.113979288,0.202687021,0.202687021
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, liferenter,, surges]",0.165606329,0.220839589,0.220839589,0.392714494
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, unoxidative,, surges,, liferenter]",0.183325136,0.244467998,0.137474458,0.434732408
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, liferenter,, unoxidative]",0.289167434,0.162610798,0.162610798,0.38561097
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[alunogen,, surges,, unoxidative,, liferenter]",0.265793642,0.149466749,0.112084249,0.47265536
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, unoxidative,, alunogen]",0.326144885,0.244574161,0.103136068,0.326144885
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, liferenter,, alunogen,, unoxidative]",0.301426417,0.127110466,0.169504531,0.401958587
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, liferenter,, alunogen]",0.102719878,0.182664643,0.136979158,0.577636321
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, unoxidative,, alunogen,, liferenter]",0.153945648,0.153945648,0.205289821,0.486818883
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, liferenter,, unoxidative]",0.401958587,0.169504531,0.127110466,0.301426417
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[surges,, alunogen,, unoxidative,, liferenter]",0.201541537,0.113335135,0.04779303,0.637330299
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, subfalciform,, necklike]",0.506313312,0.213510553,0.160110328,0.120065807
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, wideband,, necklike,, subfalciform]",0.47265536,0.265793642,0.149466749,0.112084249
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, wideband,, necklike]",0.577075168,0.243350553,0.102620077,0.076954202
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, subfalciform,, necklike,, wideband]",0.577636321,0.182664643,0.102719878,0.136979158
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, wideband,, subfalciform]",0.486287416,0.27345951,0.153777583,0.08647549
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[rollouts,, necklike,, subfalciform,, wideband]",0.557977794,0.235297285,0.132317387,0.074407535
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, subfalciform,, necklike]",0.450212122,0.253172881,0.189852878,0.106762119
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, rollouts,, necklike,, subfalciform]",0.47265536,0.265793642,0.149466749,0.112084249
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, rollouts,, necklike]",0.505738453,0.284397632,0.119929487,0.089934428
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, subfalciform,, necklike,, rollouts]",0.491010562,0.27611553,0.116436954,0.116436954
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, rollouts,, subfalciform]",0.42563721,0.319182879,0.179489723,0.075690189
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[wideband,, necklike,, subfalciform,, rollouts]",0.480646671,0.202687021,0.202687021,0.113979288
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, wideband,, necklike]",0.5348758,0.169142579,0.169142579,0.126839041
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, rollouts,, necklike,, wideband]",0.558502373,0.176613998,0.132441815,0.132441815
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, rollouts,, necklike]",0.513167019,0.16227766,0.16227766,0.16227766
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, wideband,, necklike,, rollouts]",0.486818883,0.153945648,0.153945648,0.205289821
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, rollouts,, wideband]",0.401958587,0.301426417,0.169504531,0.127110466
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[subfalciform,, necklike,, wideband,, rollouts]",0.506313312,0.160110328,0.213510553,0.120065807
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, wideband,, subfalciform]",0.434308534,0.244229637,0.244229637,0.077232192
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, rollouts,, subfalciform,, wideband]",0.577636321,0.136979158,0.182664643,0.102719878
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, rollouts,, subfalciform]",0.521988175,0.220120588,0.165067154,0.092824082
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, wideband,, subfalciform,, rollouts]",0.506313312,0.160110328,0.213510553,0.120065807
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, rollouts,, wideband]",0.544466071,0.229599417,0.129113241,0.096821271
Find the order of the factor group (Z_4 x Z_12)/(<2> x <2>),abstract_algebra,"[necklike,, subfalciform,, wideband,, rollouts]",0.566313089,0.179083923,0.179083923,0.075519064
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, acetanilide,, anama]",0.5348758,0.126839041,0.169142579,0.169142579
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, preinfection,, anama,, acetanilide]",0.513167019,0.16227766,0.16227766,0.16227766
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, preinfection,, anama]",0.614474061,0.081941452,0.194313804,0.109270682
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, acetanilide,, anama,, preinfection]",0.566313033,0.075519074,0.179083947,0.179083947
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, preinfection,, acetanilide]",0.265793642,0.149466749,0.47265536,0.112084249
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[lymphopenial,, anama,, acetanilide,, preinfection]",0.355111595,0.266296129,0.266296129,0.112296146
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, acetanilide,, anama]",0.415673496,0.17528806,0.17528806,0.233750385
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, lymphopenial,, anama,, acetanilide]",0.315299195,0.236441041,0.132960568,0.315299195
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, lymphopenial,, anama]",0.353996881,0.353996881,0.026546027,0.265460211
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, acetanilide,, anama,, lymphopenial]",0.494750463,0.20863454,0.087980456,0.20863454
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, lymphopenial,, acetanilide]",0.347394823,0.347394823,0.109855889,0.195354465
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[preinfection,, anama,, acetanilide,, lymphopenial]",0.463044259,0.146427452,0.195264145,0.195264145
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, preinfection,, anama]",0.415156865,0.311323729,0.098449207,0.175070198
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, lymphopenial,, anama,, preinfection]",0.450212122,0.189852878,0.106762119,0.253172881
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, lymphopenial,, anama]",0.472279558,0.199158638,0.062979491,0.265582313
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, preinfection,, anama,, lymphopenial]",0.614474116,0.08194144,0.109270667,0.194313777
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, lymphopenial,, preinfection]",0.552399617,0.174684137,0.098232109,0.174684137
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[acetanilide,, anama,, preinfection,, lymphopenial]",0.486287416,0.08647549,0.153777583,0.27345951
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, preinfection,, acetanilide]",0.301910897,0.226401233,0.301910897,0.169776974
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, lymphopenial,, acetanilide,, preinfection]",0.409683204,0.129553204,0.230381796,0.230381796
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, lymphopenial,, acetanilide]",0.391381981,0.391381981,0.052191626,0.165044413
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, preinfection,, acetanilide,, lymphopenial]",0.30891491,0.07325527,0.30891491,0.30891491
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, lymphopenial,, preinfection]",0.698985275,0.124299112,0.052416501,0.124299112
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, preinfection,, lymphopenial]",0.680045602,0.068004576,0.090685559,0.161264263
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, pourvete,, lachrymogenic]",0.463044259,0.195264145,0.146427452,0.195264145
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, lachrymogenic,, pourvete]",0.513167019,0.16227766,0.16227766,0.16227766
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, linkiest,, lachrymogenic]",0.486818883,0.153945648,0.153945648,0.205289821
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, lachrymogenic,, linkiest]",0.506313312,0.120065807,0.160110328,0.213510553
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, linkiest,, pourvete]",0.505738453,0.119929487,0.089934428,0.284397632
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, pourvete,, linkiest]",0.486818883,0.153945648,0.153945648,0.205289821
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, pourvete,, lachrymogenic]",0.544466025,0.129113253,0.096821281,0.22959944
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, lachrymogenic,, pourvete]",0.544466031,0.129113252,0.09682128,0.229599437
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, tamacoare,, lachrymogenic]",0.401958587,0.127110466,0.169504531,0.301426417
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, lachrymogenic,, tamacoare]",0.401958587,0.169504531,0.127110466,0.301426417
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, tamacoare,, pourvete]",0.614474061,0.081941452,0.109270682,0.194313804
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, pourvete,, tamacoare]",0.506313312,0.160110328,0.120065807,0.213510553
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, linkiest,, lachrymogenic]",0.494750463,0.20863454,0.087980456,0.20863454
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, lachrymogenic,, linkiest]",0.5348758,0.169142579,0.126839041,0.169142579
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, tamacoare,, lachrymogenic]",0.577636265,0.136979176,0.102719891,0.182664668
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, lachrymogenic,, tamacoare]",0.494750463,0.20863454,0.087980456,0.20863454
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, tamacoare,, linkiest]",0.544466105,0.129113231,0.096821264,0.2295994
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, linkiest,, tamacoare]",0.505738453,0.119929487,0.089934428,0.284397632
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, linkiest,, pourvete]",0.434167347,0.13729577,0.102957303,0.32557958
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, pourvete,, linkiest]",0.521988175,0.092824082,0.165067154,0.220120588
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, tamacoare,, pourvete]",0.401958587,0.127110466,0.169504531,0.301426417
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, pourvete,, tamacoare]",0.335116395,0.188449798,0.141317412,0.335116395
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, tamacoare,, linkiest]",0.379873463,0.120126537,0.120126537,0.379873463
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, linkiest,, tamacoare]",0.506313312,0.160110328,0.120065807,0.213510553
